shark_col,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,n,aic,bic,cfi,rmsea,b_hake_cpue,p_hake_cpue,b_cpue_sar,p_cpue_sar,b_shark_sar,p_shark_sar,model_group,sig_shark,sig_hake,sig_cpue
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,linear,0.2,z_roll2,24,103.29321236272204,111.53958917515766,0.750492265014078,0.38485779318188434,-0.37201497826753915,1.4367408691451367e-4,0.7139959071194154,2.2066118906649557e-4,-0.3406906576368115,0.026513742616188107,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,logistic,0.6,z_roll2,24,103.31171425743969,111.5580910698753,0.754861539641025,0.38020297532750524,-0.37201497826753915,1.4367408682081084e-4,0.7154610161965784,2.1629166920855702e-4,-0.3398331914858562,0.026858071000895656,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,sst_wgoa_coastwatch_junjulaug,2,linear,0.2,log1p_z,24,103.32132996079935,111.56770677323496,0.8400765119927993,0.2910331042074914,-0.37201497826753915,1.4367408689697214e-4,0.7366681607242682,1.5196518939042392e-4,-0.2976717510860099,0.0270387499296576,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,logistic,0.2,z_roll2,24,103.32863790356566,111.57501471600128,0.7392881505268413,0.3960453158592114,-0.37201497826753915,1.4367408686055683e-4,0.7004862024656328,2.847442146458601e-4,-0.33627997163866785,0.02717686221451565,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,constant,0,z_roll2,24,103.32965617729039,111.576032989726,0.7440834158651457,0.39111044455004484,-0.37201497826753915,1.4367408683013672e-4,0.7074190144402022,2.509591269430622e-4,-0.33911848453022625,0.027196161292286414,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,linear,0.2,z_roll2,24,103.35785655090515,111.60423336334077,0.7385501868574199,0.3965319075616365,-0.37201497826753893,1.4367408703397366e-4,0.6976819916754625,3.0253372440736115e-4,-0.3324085121685596,0.02773600623048922,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,constant,0,z_roll2,24,103.36402085684222,111.61039766927783,0.7413975466950861,0.3935518265838018,-0.3720149782675388,1.4367408688409355e-4,0.7029931879977728,2.747976019548126e-4,-0.33547784926777313,0.027855402533036422,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,logistic,0.4,z_roll2,24,103.3757647794205,111.62214159185612,0.7389175179503373,0.3959883315187499,-0.3720149782675388,1.4367408695425965e-4,0.697797169481893,3.034740500249544e-4,-0.33206536548635646,0.028084266760000975,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,logistic,0.8,z_roll2,24,103.37870092444524,111.62507773688085,0.7598835783837625,0.37445443045836513,-0.37201497826753915,1.4367408691451367e-4,0.716433156423277,2.171734588556351e-4,-0.3357903750017504,0.028141773581462637,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,logistic,0.2,z,24,103.41853332984502,111.66491014228063,0.8021385409987388,0.3305300956975884,-0.37201497826753915,1.4367408690052486e-4,0.7308085904465779,1.7266359882572857e-4,-0.3236292722311309,0.028933432056276853,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,pdo_djf,2,logistic,0.4,z_roll2,24,103.45003799423739,111.696414806673,0.7981999139768691,0.3343781574447993,-0.37201497826753893,1.4367408688165106e-4,0.7298155062740747,1.7734069295771704e-4,-0.37753276801094837,0.02957502097427378,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,akclim_goa_wgoa_win_sst,2,constant,0,z_roll2,24,103.45153091982675,111.69790773226237,0.7398900203770431,0.3942872337472569,-0.37201497826753915,1.436740869167341e-4,0.7078320624854293,2.5849162073399157e-4,-0.3339618760819212,0.029605768383031972,long,TRUE,TRUE,TRUE
