"ncc_predator","ak_predator","model_type","active_ncc_ints","active_ak_ints","aic","bic","cfi","pvalue","cpue_r2","sar_r2"
"x11_dfa_harbour_p_ws","x10_harbour_s_2yrlead_ws","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",116.316072336497,128.317539323438,0.718027573731136,0.0190689978556695,0.27476395521589,0.627475797553021
"x11_dfa_harbour_p_ws","x10_harbour_s_2yrlead_ws","Pruned","ncc_int_2","ak_int_1",115.822754430423,125.642136510647,0.630415407051564,0.00212594627359197,0.211600696419951,0.586739131711089
"x11_dfa_harbour_p_ws","x10_northern_f_s_2yrlead_ws","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",124.721512690627,136.722979677568,0.583999395150155,0.0107741422693258,0.27476395521589,0.470899564812705
"x11_dfa_harbour_p_ws","x10_northern_f_s_2yrlead_ws","Pruned","ncc_int_2","None",132.478205802946,141.902636445729,0.685313443746989,0.0256795797212797,0.237109370993004,0.353463912054037
"x11_dfa_harbour_p_ws","x15_arrowtoothflounderbiomass_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",129.628955855333,143.765601819509,0.789173457064493,0.0855843637740829,0.299844916379891,0.532895512001786
"x11_dfa_harbour_p_ws","x15_arrowtoothflounderbiomass_predak","Pruned","ncc_int_2","ak_int_1, ak_int_2, ak_int_3",129.688463513813,142.647055647641,0.759812986375992,0.058492502355768,0.237109370993004,0.530740778511043
"x11_dfa_harbour_p_ws","x15_sablefishbiomass_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",118.460770280258,132.597416244433,0.947667671885993,0.271005001044932,0.299844916379891,0.716522665510848
"x11_dfa_harbour_p_ws","x15_sablefishbiomass_predak","Pruned","ncc_int_2","ak_int_1",120.795496677428,131.39798115056,0.907690620135792,0.153634347926708,0.237109370993004,0.623577635271354
"x11_dfa_harbour_p_ws","x15_sablefishrecruitment_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",130.189386362793,144.326032326968,0.593305437090992,0.00424090137604993,0.299844916379891,0.571154329665346
"x11_dfa_harbour_p_ws","x15_sablefishrecruitment_predak","Pruned","ncc_int_2","ak_int_2, ak_int_3",129.938848652087,141.719386955566,0.685281035204455,0.020105640037631,0.237109370993004,0.529861922750464
"x11_dfa_harbour_p_ws","x15_pacificcodbiomass_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",131.169123435323,145.305769399498,0.700784522782024,0.0345521990583357,0.299844916379891,0.508876010422493
"x11_dfa_harbour_p_ws","x15_pacificcodbiomass_predak","Pruned","ncc_int_2","ak_int_1, ak_int_2",129.352205972825,141.132744276305,0.760961460774722,0.0531361185485205,0.237109370993004,0.531950038261905
"x11_dfa_harbour_p_ws","x15_spinydogfishgoa_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",131.728693900985,145.86533986516,0.384501516969997,5.76014906328304e-06,0.299844916379891,0.549439490650579
"x11_dfa_harbour_p_ws","x15_spinydogfishgoa_predak","Pruned","ncc_int_2","ak_int_1, ak_int_2",129.796792530841,141.577330834321,0.579114922771822,0.00253075605610853,0.237109370993004,0.530256982409399
"x11_dfa_harbour_p_ws","x15_halibutbiomassage8plus_2yrlead_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",127.304024357273,140.2626164911,0.730024909872639,0.0286648764420273,0.299844916379891,0.574937627376652
"x11_dfa_harbour_p_ws","x15_halibutbiomassage8plus_2yrlead_predak","Pruned","ncc_int_2","ak_int_1, ak_int_2",127.36353201576,139.144070319239,0.670655285854202,0.00946178517914875,0.237109370993004,0.574712616798341
"x11_dfa_harbour_p_ws","x15_dfa_sleepersharks","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",115.697518957905,128.656111091732,1,0.466238758860475,0.299844916379891,0.7387213323466
"x11_dfa_harbour_p_ws","x15_dfa_sleepersharks","Pruned","ncc_int_2","ak_int_1, ak_int_2",115.757026616392,127.537564919871,1,0.51303319899101,0.237109370993004,0.737680007500139
"x11_dfa_harbour_p_ws","x15_salmonsharkgoa_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",137.974337118122,150.932929251949,0.602518008485422,0.0372546174019827,0.299844916379891,0.326379717853793
"x11_dfa_harbour_p_ws","x15_salmonsharkgoa_predak","Pruned","ncc_int_2","None",134.307626331359,143.732056974142,0.545416331616849,0.00487789665574057,0.237109370993004,0.318773107688088
"x11_dfa_harbour_p_ws","x11_ssl_seak_pup_pred","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",119.260390822281,133.397036786456,0.830335523663468,0.0647533052065918,0.299844916379891,0.70280495186012
"x11_dfa_harbour_p_ws","x11_ssl_seak_pup_pred","Pruned","ncc_int_2","ak_int_1, ak_int_2",117.498397087738,129.278935391217,0.882059237982896,0.105071097284743,0.237109370993004,0.703348541937332
