model_group,forage_set_id,forage_label,importance_aicw,n_models,min_aic,mean_r2,rank,importance_rel_top1
long,34,mid_il_capelin + est_abund_herring_recruits,0.0019449704505069046,3,39.65057944890381,0.663010522072469,67,0.018359165039017362
long,101,crg_herr_matbiom + pav_capelin_cpue + capelin_w_go_a,0.0018443494850651507,3,39.80421114963268,0.6756144077606642,68,0.01740937327716876
long,117,crg_herr_matbiom + sitka_herring_e_go_a + abund_herring,0.001772008644931834,3,39.8360223885466,0.6611373284585528,69,0.016726526181613865
long,123,mid_il_capelin + pav_capelin_cpue + sitka_herring_e_go_a,0.0017365838219138411,3,39.91613420862587,0.6722494470333428,70,0.016392140550153086
long,97,crg_herr_matbiom + mid_il_capelin + abund_herring,0.0016984716766471873,3,39.91660188116427,0.6582045203261009,71,0.01603238847023889
long,92,crg_herr_matbiom + mid_il_capelin + pav_capelin_cpue,0.0016873437790567423,3,39.98013564436495,0.6728091365061777,72,0.01592734887524298
long,138,mid_il_capelin + sitka_herring_e_go_a + abund_herring,0.0016825132211505845,3,39.93100493774883,0.6557605150438857,73,0.01588175177642507
long,106,crg_herr_matbiom + x13_ammod_wai + capelin_w_go_a,0.0016497706662701181,3,39.95876708348314,0.6483490046426006,74,0.015572684886132263
long,119,crg_herr_matbiom + abund_herring + est_abund_herring_recruits,0.0016446968375607445,3,39.98605311296677,0.6581896091237979,75,0.015524791480537942
long,155,pav_capelin_cpue + abund_herring + est_abund_herring_recruits,0.001553315128269703,3,40.163154478664275,0.6719526550769043,76,0.014662211855235929
long,172,capelin_w_go_a + sitka_herring_e_go_a + abund_herring,0.001504930917590149,3,40.15405099400615,0.6525163959510144,77,0.01420549863940429
long,65,stka_herr_matbiom + mid_il_capelin + x13_ammod_wai,0.0014827158984661527,3,40.18588686598825,0.6530754673736672,78,0.013995804346960886
long,52,capelin_w_go_a + est_abund_herring_recruits,0.0014325535977639445,3,40.26344147652989,0.6547163270227775,79,0.01352230720098181
long,153,pav_capelin_cpue + sitka_herring_e_go_a + abund_herring,0.0010623581181133785,3,40.91206492002859,0.6609340742887645,80,0.010027919969632555
long,128,mid_il_capelin + x13_ammod_wai + sitka_herring_e_go_a,9.336896420159326e-4,3,41.09407040950291,0.628660937243359,81,0.00881337926163557
long,7,capelin_w_go_a,9.21990392282822e-4,3,41.2608772502517,0.6665825977917404,82,0.008702946500753843
long,103,crg_herr_matbiom + pav_capelin_cpue + abund_herring,8.792572228122378e-4,3,41.314458432289896,0.6596520031177193,83,0.008299575174085982
long,3,mid_il_capelin,8.784956335139723e-4,3,41.35137052419654,0.6645393415724588,84,0.008292386302082727
long,31,mid_il_capelin + capelin_w_go_a,8.777698767708371e-4,3,41.35331331982721,0.664549761938345,85,0.008285535664417809
long,136,mid_il_capelin + capelin_w_go_a + abund_herring,7.663392886233045e-4,3,41.57182456801153,0.6528946737776843,86,0.007233708600586506
long,142,pav_capelin_cpue + x13_ammod_wai + capelin_w_go_a,7.652397318134575e-4,3,41.57718473181784,0.6534807235784669,87,0.007223329550901461
long,26,crg_herr_matbiom + abund_herring,7.327934094963948e-4,3,41.63874600505106,0.6468029610887469,88,0.006917058889476833
long,120,mid_il_capelin + pav_capelin_cpue + x13_ammod_wai,6.741421189523412e-4,3,41.82640636155231,0.6490166262787518,89,0.006363431597828776
long,33,mid_il_capelin + abund_herring,6.470956551248878e-4,3,41.89465151880256,0.6446260973797481,90,0.006108131835819221
long,140,mid_il_capelin + abund_herring + est_abund_herring_recruits,6.220638815815863e-4,3,41.938977567882205,0.6325379809519707,91,0.005871849345470328
long,51,capelin_w_go_a + abund_herring,5.960586875523654e-4,3,42.061695721387196,0.6427420247221354,92,0.0056263784443932935
long,53,sitka_herring_e_go_a + abund_herring,5.324765447065463e-4,3,42.24754553964522,0.6280613875946837,93,0.005026207344757028
long,93,crg_herr_matbiom + mid_il_capelin + x13_ammod_wai,4.899705016452567e-4,3,42.393289064127714,0.6155085362758554,94,0.0046249799330426705
long,82,stka_herr_matbiom + ammod_eai + capelin_w_go_a,4.6683355047277397e-4,3,42.7842872374868,0.6599214363355397,95,0.004406583244823273
long,160,x13_ammod_wai + capelin_w_go_a + sitka_herring_e_go_a,4.4331282516372767e-4,3,42.58795081465793,0.6083697656266057,96,0.004184563996318171
long,37,pav_capelin_cpue + capelin_w_go_a,4.4320747959810476e-4,3,42.79885694589951,0.6524119346870447,97,0.0041835696076245555
long,151,pav_capelin_cpue + capelin_w_go_a + abund_herring,4.2437824095536e-4,3,42.84025575679442,0.6470119613467293,98,0.004005834722392186
long,83,stka_herr_matbiom + ammod_eai + sitka_herring_e_go_a,3.9925243035816843e-4,3,43.01116138585567,0.6500450339842239,99,0.0037686645878162554
long,122,mid_il_capelin + pav_capelin_cpue + capelin_w_go_a,3.826997623199217e-4,3,43.0562985917574,0.6450831919394466,100,0.003612418941888299
