"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_hake_sar","p_hake_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"114","x15_spiny_dogfish_go_a_pred_ak","x15_dfa_sleeper_shark_bsai_pred_ak",18,88.810142621964,95.0427449272372,1,0,-0.591374343382204,0.000176445283750715,-0.296656518847718,0.152656196319616,-0.331717183698178,0.263493916552442,-0.893821382163466,0.0083362960167126,"2 Predators",-3.66225781084199,FALSE
"115","x10_californian_s_l_2yr_lead_ws","x12_copepod_com_e_go_a",18,88.8242126664464,95.0568149717195,1,0,-0.591374328314583,0.000176445374917567,-0.67215455173298,7.03916603599364e-05,0.173374850952695,0.325637230929129,0.43494165859152,0.0216560707948761,"1 Predator + 1 Prey",-3.64818776635965,FALSE
"116","x10_dfa_ssl_est_wholerange_2yr_lead","x15_dfa_sleeper_shark_bsai_pred_ak",18,88.9209363269934,95.1535386322665,1,0,-0.591374320029501,0.000176445256140134,-0.278929853751611,0.212621194505397,-0.542804243839387,0.283599195827285,-1.0863442632129,0.031536090312597,"2 Predators",-3.55146410581261,FALSE
"117","x15_shark_enso_roll2","x12_copepod_com_w_go_a",18,88.97505542558,95.2076577308531,1,0,-0.591374347844814,0.000176445214383758,-0.792105377563473,0.000922159234570064,-0.568395141972679,0.0127566764392992,0.351065132728416,0.169546494248113,"1 Predator + 1 Prey",-3.49734500722602,TRUE
"118","x10_dfa_ssl_est_wholerange_2yr_lead","x13_hexagram_eai",18,88.9791792239603,95.2117815292334,1,0,-0.591374358959748,0.000176445191193642,-0.505600531178249,0.0024914728373282,0.318016496289908,0.13181205869609,-0.364241540095043,0.0388714467312996,"1 Predator + 1 Prey",-3.49322120884571,FALSE
"119","x15_halibut_biomass_age8plus_2yr_lead_pred_ak","x12_copepod_biomass_w_go_a",18,88.9886769957674,95.2212793010405,1,0,-0.591374340625378,0.000176445295726468,-0.294050553915056,0.216398716734979,-0.326934961270881,0.335740537174637,-0.459249402171851,0.0716695318359453,"1 Predator + 1 Prey",-3.48372343703863,FALSE
"120","x15_sablefish_recruitment_pred_ak","x12_copepod_biomass_w_go_a",18,89.0145775265089,95.247179831782,1,0,-0.591374401019824,0.000176444982716184,-0.325902133842048,0.211069603255868,0.191884461160975,0.343002060603038,-0.5138479668755,0.0236184134561594,"1 Predator + 1 Prey",-3.45782290629711,FALSE
"121","x15_sablefish_biomass_pred_ak","x12_copepod_biomass_w_go_a",18,89.0158406743998,95.248442979673,1,0,-0.591374265102281,0.000176445772518186,-0.338140180240458,0.207852011986966,0.191800303135097,0.34117981146868,-0.452174878208772,0.0810567846804064,"1 Predator + 1 Prey",-3.4565597584062,FALSE
"122","x10_dfa_ssl_est_wholerange_2yr_lead","x12_copepod_biomass_w_go_a",18,89.0190619418188,95.251664247092,1,0,-0.591374342381587,0.000176445267873193,-0.275733563810352,0.226818856937339,0.218490156218146,0.344398425917459,-0.490731582192256,0.0396034648836208,"1 Predator + 1 Prey",-3.45333849098719,FALSE
"123","x10_northern_f_s_2yr_lead_ws","x13_hexagram_eai",18,89.0198128511607,95.2524151564339,1,0,-0.591374414838703,0.000176445061258246,-0.182372875052572,0.395143677864611,0.355095394624293,0.135615091606041,-0.541650654338237,0.00264159139689135,"1 Predator + 1 Prey",-3.4525875816453,FALSE
