"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_cpue_sar","p_cpue_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"178","x15_pacific_cod_biomass_pred_ak","x13_ammod_wai",24,121.222640312446,128.290963294534,0.699951533359529,0.353194886188318,-0.613080028554731,0.000143674086900969,0.509499014847431,0.00173775654379638,0.0777580520023384,0.633104064524799,-0.364693116243121,0.0181773940884613,"1 Predator + 1 Prey",-1.04519020368167,FALSE
"179","x15_pacific_cod_biomass_pred_ak","x13_dfa_wgoa_dfa_seabirds",24,121.232556824329,128.300879806417,0.91507673197269,0.16429883431936,-0.613080028554731,0.000143674086900969,0.500274161775679,0.00232318163765699,-0.147301600130943,0.411483301700193,-0.413011072178501,0.0191755704270951,"1 Predator + 1 Prey",-1.03527369179901,FALSE
"180","x15_pacific_cod_biomass_pred_ak","x15_dfa_sleeper_shark_bsai_pred_ak",24,121.25375985855,128.322082840638,0.843608288399241,0.232095317386658,-0.613080028554731,0.000143674086900969,0.568480236302705,0.000474164900927443,0.0792077875265256,0.629529253778195,-0.36600318544178,0.0184171728789317,"2 Predators",-1.0140706575778,FALSE
"181","x10_dfa_ssl_est_wholerange_2yr_lead","x13_wgoa_cap_pcod",24,121.276284158887,128.344607140974,0.949734974957165,0.123944642117706,-0.613080028554731,0.000143674086900969,0.420329318398689,0.0174790859156402,0.0747009621575299,0.649391125173401,0.365220679520825,0.0365318951373879,"1 Predator + 1 Prey",-0.991546357241475,FALSE
"182","x15_sablefish_recruitment_pred_ak","x13_stka_herr_matbiom",24,121.351717981325,128.420040963413,0.712893490384103,0.341287212437135,-0.613080028554731,0.000143674086900969,0.587912491448958,0.000317051442504379,-0.10993157587536,0.549266344081816,0.401835242630912,0.0222540171333057,"1 Predator + 1 Prey",-0.916112534803176,FALSE
"183","x15_sablefish_recruitment_pred_ak","x15_dfa_sleeper_shark_bsai_pred_ak",24,121.380126866441,128.448449848528,0.808007416275901,0.261968410208767,-0.613080028554731,0.000143674086900969,0.575765283159972,0.000459449469574214,-0.0577718118095712,0.743423840708654,-0.376973313480386,0.0236486713983679,"2 Predators",-0.887703649687353,FALSE
"184","x10_californian_s_l_2yr_lead_ws","x13_ammod_wai",24,121.388053573649,128.456376555737,0.714407146772023,0.339728792576503,-0.613080028554731,0.000143674086900969,0.535888500719133,0.000531076990718748,0.0474326486794799,0.797936204166607,-0.330399976550333,0.0752857249650085,"1 Predator + 1 Prey",-0.879776942478941,FALSE
"185","x15_spiny_dogfish_go_a_pred_ak","x13_stka_herr_matbiom",24,121.39122856842,128.459551550507,0.639752019772865,0.403174780753313,-0.613080028554731,0.000143674086900969,0.63414034413107,8.07835231697585e-05,0.0945396074418327,0.566235200160617,0.331302591824913,0.0398369654123023,"1 Predator + 1 Prey",-0.876601947708252,FALSE
"186","x15_sablefish_recruitment_pred_ak","x13_ammod_wai",24,121.392819608983,128.46114259107,0.678138900661879,0.370132062020986,-0.613080028554731,0.000143674086900969,0.519620382853794,0.00147626923546795,-0.0417744166075442,0.805921471233984,-0.369278494590846,0.0217019768096383,"1 Predator + 1 Prey",-0.875010907145509,FALSE
"187","x15_arrowtooth_flounder_biomass_pred_ak","x13_stka_herr_matbiom",24,121.396179446234,128.464502428322,0.627643311565162,0.41378029899189,-0.613080028554731,0.000143674086900969,0.634629035957644,8.51894495592642e-05,-0.0986272470857032,0.57005638995623,0.317826659272248,0.0593307953596307,"1 Predator + 1 Prey",-0.871651069893574,FALSE
